,age,job,marital,education,default,housing,loan,month,day_of_week,campaign,pdays,previous,poutcome,EVR,CPI,cons_conf_idx,euribor,no_emp,y,y_n
42,38,admin.,single,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
43,57,admin.,married,university.degree,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
44,44,admin.,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
45,42,technician,single,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
46,57,admin.,married,university.degree,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
47,40,blue-collar,married,basic.9y,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
48,35,admin.,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
49,45,blue-collar,married,basic.9y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
50,54,admin.,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
51,39,housemaid,married,basic.4y,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
52,60,admin.,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
53,53,admin.,single,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
54,55,blue-collar,married,basic.4y,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
55,55,technician,married,professional.course,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
56,50,management,married,university.degree,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
57,45,services,married,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
58,55,unemployed,married,professional.course,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
59,25,technician,single,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
60,47,entrepreneur,married,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
61,51,blue-collar,married,basic.9y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
62,42,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
63,42,blue-collar,married,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
64,48,admin.,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
65,37,admin.,married,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
66,44,blue-collar,single,basic.9y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
67,33,admin.,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
68,56,admin.,married,basic.9y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
69,44,blue-collar,single,basic.4y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
70,41,management,married,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
71,44,management,divorced,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
72,47,admin.,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
74,37,admin.,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
75,41,blue-collar,divorced,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,1.0
76,55,technician,married,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
77,33,services,married,high.school,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
78,55,management,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
79,42,blue-collar,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
80,50,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
82,38,admin.,married,high.school,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
83,49,entrepreneur,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,1.0
84,38,technician,single,university.degree,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
85,31,admin.,divorced,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
86,41,management,married,basic.6y,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
87,39,admin.,married,university.degree,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
88,49,technician,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,1.0
89,34,admin.,married,high.school,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
90,35,admin.,married,university.degree,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
92,60,admin.,married,N/A,no,no,yes,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
93,33,unemployed,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
94,42,blue-collar,married,basic.6y,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
95,45,services,married,professional.course,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
96,42,management,married,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
97,53,admin.,divorced,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
98,37,technician,single,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
99,44,blue-collar,married,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
100,54,services,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
101,49,blue-collar,married,basic.4y,no,no,no,may,mon,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
102,54,services,married,N/A,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
103,52,admin.,divorced,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
105,43,services,single,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
106,34,housemaid,married,basic.6y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
107,35,admin.,married,high.school,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
108,42,entrepreneur,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
109,43,technician,married,N/A,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
110,60,retired,divorced,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
111,58,unemployed,married,basic.4y,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
112,35,services,divorced,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
113,55,blue-collar,married,basic.9y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
114,37,management,married,university.degree,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
115,36,blue-collar,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
116,52,admin.,divorced,university.degree,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
117,57,blue-collar,divorced,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
118,56,admin.,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
119,48,blue-collar,divorced,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
120,40,blue-collar,married,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
121,49,blue-collar,divorced,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
122,41,services,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
123,45,technician,married,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
124,32,admin.,married,university.degree,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
125,42,admin.,married,university.degree,no,no,yes,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
126,50,admin.,married,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
127,31,technician,divorced,professional.course,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
128,56,retired,married,basic.4y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
129,41,technician,married,professional.course,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,1.0
130,37,blue-collar,married,basic.6y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
131,41,technician,married,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
132,35,blue-collar,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
133,37,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
134,52,management,married,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
135,39,management,divorced,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
136,39,housemaid,married,basic.4y,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
137,56,blue-collar,married,basic.4y,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
138,34,services,married,high.school,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
139,45,blue-collar,married,basic.9y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,1.0
140,43,unemployed,single,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
141,56,management,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
142,39,management,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
143,53,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
145,42,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
146,42,blue-collar,married,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
147,35,admin.,single,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
148,40,admin.,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
149,51,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
150,60,blue-collar,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
151,56,entrepreneur,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
152,39,services,divorced,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
153,56,entrepreneur,married,N/A,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
154,40,blue-collar,married,N/A,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
155,36,blue-collar,married,basic.9y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
156,51,blue-collar,married,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
157,51,blue-collar,married,N/A,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
158,43,technician,single,professional.course,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
159,59,services,married,high.school,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
160,24,management,single,university.degree,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
161,37,blue-collar,single,basic.9y,no,yes,yes,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
162,40,blue-collar,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
163,42,blue-collar,married,basic.9y,no,no,no,may,mon,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
164,39,services,divorced,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
165,37,entrepreneur,married,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
166,38,services,married,high.school,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
167,56,admin.,divorced,N/A,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
168,40,blue-collar,married,N/A,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
169,54,management,divorced,university.degree,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
170,43,blue-collar,married,high.school,no,no,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
171,36,services,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
172,45,technician,married,university.degree,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
173,42,admin.,single,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
174,43,services,married,high.school,no,no,no,may,mon,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
175,46,management,married,basic.9y,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
176,44,services,married,high.school,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
177,51,admin.,single,basic.6y,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
178,28,services,married,high.school,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
179,37,blue-collar,married,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
180,34,technician,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
181,46,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
182,42,blue-collar,married,basic.9y,no,yes,yes,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,1.0
183,36,admin.,married,university.degree,no,yes,no,may,mon,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
184,54,blue-collar,married,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
185,57,management,married,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
186,51,technician,married,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
187,54,retired,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
188,49,blue-collar,married,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
189,34,admin.,married,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
191,38,blue-collar,single,basic.9y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
192,45,management,divorced,university.degree,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
193,42,technician,married,university.degree,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
194,34,blue-collar,single,basic.9y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
195,48,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
197,34,blue-collar,single,basic.9y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
198,40,admin.,married,basic.9y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
199,43,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
200,33,services,married,high.school,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
201,32,services,single,basic.6y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
202,39,blue-collar,married,high.school,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
203,43,admin.,married,N/A,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
204,44,blue-collar,married,basic.9y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
205,35,student,single,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
206,35,student,single,university.degree,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
207,35,unemployed,married,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
208,36,services,single,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
209,35,student,single,university.degree,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
210,36,student,single,basic.9y,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
211,55,housemaid,divorced,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
212,59,admin.,married,university.degree,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
213,57,retired,married,N/A,no,no,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
214,39,blue-collar,married,professional.course,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
215,39,housemaid,married,basic.4y,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
216,30,blue-collar,single,N/A,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
217,30,blue-collar,single,N/A,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
218,50,housemaid,married,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
219,40,services,married,high.school,no,no,no,may,mon,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0.0
